iter	CrossEntropy
0	0.6601682869
1	0.6296428919
2	0.6037031518
3	0.5789680221
4	0.5574459453
5	0.5391077076
6	0.5267032696
7	0.5085729666
8	0.4937014222
9	0.4811364461
10	0.4684432056
11	0.4580265547
12	0.4466785695
13	0.4353913345
14	0.4243091847
15	0.4101941349
16	0.4019752395
17	0.3976508797
18	0.3885652862
19	0.3764492749
20	0.3669975576
21	0.3571934562
22	0.351802827
23	0.3460554334
24	0.3382527285
25	0.331291077
26	0.3247281666
27	0.3209788237
28	0.3178549647
29	0.3137858129
30	0.3078386561
31	0.2997420522
32	0.2962505496
33	0.2905568871
34	0.2834693331
35	0.2772178524
36	0.2748193737
37	0.2680157636
38	0.2649331975
39	0.2626821895
40	0.2606999549
41	0.2561218179
42	0.2517847789
43	0.246628446
44	0.2431888277
45	0.24045921
46	0.2371981984
47	0.2345098697
48	0.2322218787
49	0.2302356407
50	0.2288455836
51	0.2272268093
52	0.2247988415
53	0.2215579812
54	0.2185395404
55	0.2170454055
56	0.2159532808
57	0.2146606595
58	0.2110904381
59	0.2100423142
60	0.2091689739
61	0.208087522
62	0.206711058
63	0.2052882501
64	0.2032013823
65	0.2018893714
66	0.2005711581
67	0.1994420079
68	0.1974164049
69	0.1967090941
70	0.1960581327
71	0.1944636184
72	0.1924007441
73	0.1907871639
74	0.1901385967
75	0.1888005701
76	0.1879693668
77	0.1875128604
78	0.1860745333
79	0.184541789
80	0.1837911387
81	0.1827131675
82	0.1822627744
83	0.1817587394
84	0.1812780156
85	0.1808889249
86	0.1805199923
87	0.1793743036
88	0.1790286382
89	0.1779521261
90	0.177530015
91	0.1772000801
92	0.1766294205
93	0.1754859582
94	0.1749852964
95	0.1741668426
96	0.1732003553
97	0.1727623367
98	0.1721333516
99	0.1718584766
100	0.1715931909
101	0.1708566449
102	0.1706368873
103	0.1701876672
104	0.1699562404
105	0.1693727737
106	0.1689179862
107	0.1683738245
108	0.1681664222
109	0.1679879212
110	0.1678228426
111	0.1676410231
112	0.16709516
113	0.1666355395
114	0.1659687246
115	0.1656956819
116	0.165292297
117	0.1651301095
118	0.1646974045
119	0.1644287995
120	0.1642697682
121	0.1637688029
122	0.1632647299
123	0.1627458864
124	0.1625963861
125	0.1624387542
126	0.1616976598
127	0.1615704951
128	0.1614540633
129	0.1610115638
130	0.1607236097
131	0.1605890361
132	0.1602146276
133	0.1601009106
134	0.1599986703
135	0.1599000845
136	0.1597966955
137	0.1596814615
138	0.1587765028
139	0.1584421856
140	0.1583253661
141	0.1579909696
142	0.157901908
143	0.1578058678
144	0.157706767
145	0.1576121115
146	0.1575037165
147	0.1573709352
148	0.1572665575
149	0.1567883287
150	0.1566994271
151	0.1566202913
152	0.1564304816
153	0.1563451088
154	0.1558395208
155	0.1557538624
156	0.1556792871
157	0.1556024865
158	0.1555293594
159	0.1554594981
160	0.1553862047
161	0.1552747539
162	0.1552080517
163	0.1551367233
164	0.155071405
165	0.1550087032
166	0.1549351149
167	0.1548734339
168	0.1544408626
169	0.1542829874
170	0.1540050719
171	0.1539520949
172	0.1535865269
173	0.1531365605
174	0.1530615517
175	0.1530078895
176	0.1524505932
177	0.1520981663
178	0.1520416951
179	0.1519856325
180	0.1519315809
181	0.1518863339
182	0.1518370806
183	0.1516055584
184	0.1515484816
185	0.151470388
186	0.1511761988
187	0.1508855728
188	0.1508359304
189	0.1507887667
190	0.150583627
191	0.1505273902
192	0.1504714745
193	0.1504300011
194	0.1501419551
195	0.1498183754
196	0.1497724104
197	0.1497366497
