iter	Passed	Remaining
0	134	134588
1	323	161248
2	469	155882
3	620	154580
4	773	153830
5	936	155157
6	1114	158039
7	1267	157138
8	1417	156116
9	1574	155884
10	1716	154297
11	1848	152206
12	1998	151728
13	2145	151076
14	2290	150421
15	2451	150779
16	2617	151324
17	2747	149883
18	2894	149455
19	3046	149277
20	3192	148852
21	3362	149463
22	3466	147246
23	3609	146795
24	3721	145141
25	3887	145626
26	4058	146261
27	4185	145294
28	4338	145270
29	4509	145807
30	4638	144995
31	4807	145432
32	4945	144929
33	5092	144678
34	5262	145081
35	5417	145063
36	5551	144491
37	5667	143475
38	5814	143284
39	5958	143006
40	6068	141949
41	6208	141609
42	6354	141428
43	6471	140614
44	6631	140730
45	6798	140987
46	6946	140858
47	7094	140700
48	7226	140247
49	7374	140109
50	7501	139585
51	7655	139557
52	7803	139431
53	7971	139644
54	8125	139604
55	8273	139461
56	8479	140289
57	8636	140275
58	8792	140227
59	8980	140698
60	9134	140604
61	9296	140643
62	9449	140547
63	9618	140677
64	9807	141081
65	9967	141056
66	10150	141344
67	10294	141090
68	10419	140583
69	10574	140495
70	10726	140357
71	10845	139791
72	10970	139313
73	11129	139266
74	11275	139068
75	11461	139352
76	11622	139316
77	11776	139204
78	11930	139087
79	12062	138721
80	12208	138519
81	12346	138218
82	12562	138791
83	12828	139896
84	12964	139554
85	13081	139026
86	13273	139299
87	13424	139126
88	13543	138629
89	13667	138192
90	13835	138200
91	13990	138082
92	14151	138016
93	14288	137713
94	14431	137481
95	14572	137225
96	14716	137000
97	14870	136865
98	14996	136484
99	15109	135985
100	15265	135879
101	15387	135466
102	15500	134988
103	15638	134732
104	15791	134601
105	15912	134208
106	16072	134136
107	16194	133754
108	16357	133707
109	16490	133421
110	16623	133133
111	16768	132952
112	16901	132669
113	17048	132502
114	17186	132263
115	17358	132280
116	17487	131981
117	17646	131897
118	17751	131417
119	17864	131008
120	18000	130760
121	18147	130599
122	18261	130203
123	18374	129805
124	18519	129636
125	18647	129348
126	18752	128907
127	18851	128426
128	18948	127936
129	19069	127616
130	19188	127287
131	19293	126870
132	19428	126652
133	19575	126510
134	19717	126336
